"Record ID","Temperature","Turbidity (cm)","Dissolved Oxygen (mg L-1)","Biochemical Oxygen Demand (mg L-1)","Carbon Dioxide (mg L-1)","pH","Total Alkalinity (mg L-1 as CaCO3)","Total Hardness (mg L-1 as CaCO3)","Calcium (mg L-1)","Estimated Magnesium (mg L-1)","Ammonia (mg L-1)","Nitrite (mg L-1)","Phosphorus (mg L-1)","Hydrogen Sulphide (mg L-1)","Plankton Abundance (No. L-1)","Water Quality Index (WQI)","WQI-Derived Quality Label","WQI-Derived Quality Category","WQI-Derived Aquaculture Suitability Classification","WQI-Derived Aquaculture Suitability Description"
"12","17.009","13.243","0.685","7.850","9.976","6.757","264.310","758.838","180.000","75.128","0.817","0.096","0.200","0.045","2376","54.90","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"13","15.588","38.455","3.165","6.289","9.564","6.628","273.471","629.575","143.574","65.826","1.891","0.075","0.474","0.044","501","67.59","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"14","31.597","44.160","3.323","7.560","2.703","8.419","248.948","525.123","119.003","55.360","0.800","0.072","0.200","0.043","768","72.19","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"15","30.877","40.790","0.321","7.024","9.478","6.712","263.454","117.608","6.357","24.705","1.408","0.080","0.388","0.032","2425","51.15","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"16","16.778","11.430","0.629","7.914","8.219","6.276","290.084","602.242","133.636","65.214","1.547","0.080","0.200","0.038","2353","48.56","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"17","31.970","44.659","0.314","6.889","9.757","6.423","257.101","116.723","7.085","24.049","1.864","0.072","0.406","0.036","2357","47.63","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"18","30.949","43.398","3.053","6.476","2.750","8.400","262.390","541.666","121.439","57.900","1.532","0.077","0.200","0.047","804","67.48","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"19","31.821","13.390","4.306","7.344","8.127","6.009","285.435","129.893","6.338","27.700","1.372","0.099","0.431","0.044","2221","74.40","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"20","15.601","40.181","0.934","7.658","9.556","6.820","231.022","563.083","132.021","56.684","0.611","0.072","0.493","0.034","900","58.34","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"21","31.551","38.812","0.524","7.704","2.819","8.372","264.774","122.416","7.459","25.204","1.659","0.087","0.383","0.041","1949","48.06","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"22","15.594","10.454","2.603","6.610","9.548","6.324","272.330","728.867","170.656","73.516","1.136","0.084","0.200","0.033","864","65.90","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"23","31.749","10.560","0.435","6.155","2.928","8.329","272.870","118.046","5.042","25.609","1.215","0.072","0.200","0.042","691","51.92","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"24","31.036","14.304","4.450","6.944","8.071","6.722","266.134","127.514","8.633","25.730","0.901","0.073","0.200","0.034","858","81.63","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"25","15.795","38.668","0.788","7.959","8.812","6.734","292.505","140.549","8.149","29.189","1.716","0.072","0.200","0.028","653","50.86","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"26","16.038","39.584","2.946","7.464","3.158","8.237","254.955","116.629","7.386","23.843","1.880","0.081","0.200","0.039","2174","64.72","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"27","16.649","41.663","0.923","7.028","9.199","6.736","254.051","111.291","6.078","23.340","1.591","0.089","0.201","0.042","2097","53.19","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"28","31.026","12.977","3.535","7.131","9.318","6.529","235.612","106.356","7.549","21.250","1.989","0.089","0.200","0.035","2109","68.36","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"29","15.114","11.820","0.660","6.634","9.006","6.033","296.315","593.724","130.379","65.121","0.809","0.091","0.454","0.040","855","52.64","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"30","16.530","14.088","0.543","6.397","2.773","8.391","294.380","622.512","138.475","67.203","1.628","0.100","0.200","0.037","805","49.36","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"31","15.437","13.494","0.405","7.347","8.466","6.042","260.167","746.316","177.237","73.763","0.825","0.072","0.200","0.030","1109","50.96","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"32","31.453","10.044","3.339","7.057","8.503","6.204","244.938","114.098","8.227","22.719","0.954","0.084","0.391","0.035","624","71.06","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"33","31.219","43.196","0.444","7.924","8.858","6.668","264.183","121.225","7.227","25.056","0.950","0.071","0.409","0.048","2255","52.61","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"34","15.097","13.674","3.178","7.296","8.602","6.042","291.263","128.847","5.167","28.156","0.622","0.090","0.200","0.029","2742","70.70","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"35","17.398","39.964","0.518","7.787","8.162","6.247","257.494","120.747","8.116","24.401","1.124","0.091","0.437","0.050","2230","49.91","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"36","15.036","14.270","0.379","7.718","8.402","6.150","279.368","125.173","5.983","26.769","0.598","0.073","0.200","0.031","756","52.30","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"37","31.248","40.271","0.372","6.759","2.703","8.419","259.035","663.150","154.872","67.128","1.071","0.088","0.457","0.036","788","51.61","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"38","31.096","14.616","0.515","7.542","2.925","8.330","274.411","748.108","175.553","75.219","1.296","0.098","0.387","0.036","2131","50.17","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"39","31.800","10.000","0.965","6.897","3.094","8.262","253.338","687.447","162.324","68.510","1.335","0.098","0.200","0.027","2267","54.00","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"40","15.109","42.749","3.380","7.801","2.604","8.458","237.144","555.246","128.965","56.634","1.150","0.084","0.491","0.032","2500","70.27","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"41","31.901","14.442","3.671","6.513","9.904","6.682","264.952","114.933","5.404","24.633","0.781","0.100","0.200","0.038","2198","76.83","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"42","31.421","41.830","0.345","7.190","2.827","8.369","255.343","110.427","5.647","23.392","1.791","0.095","0.500","0.028","632","47.62","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"43","31.430","11.930","4.166","6.343","2.597","8.461","279.061","540.626","118.618","59.358","1.809","0.082","0.403","0.046","2015","73.63","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"44","31.929","10.768","1.005","6.270","8.824","6.873","288.442","134.048","7.006","28.304","0.648","0.096","0.200","0.037","712","59.97","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"45","16.066","38.639","4.037","6.930","9.195","6.156","264.630","689.463","161.151","69.711","1.939","0.088","0.201","0.042","722","70.65","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"46","31.299","11.937","0.442","7.393","2.942","8.323","238.130","703.481","168.986","68.364","1.098","0.071","0.465","0.031","2533","51.45","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"47","31.715","44.079","0.948","6.870","3.115","8.254","230.743","106.683","8.380","20.825","2.000","0.082","0.200","0.047","915","50.56","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"48","31.989","41.703","3.468","6.704","8.022","6.602","291.053","128.750","5.173","28.128","1.351","0.095","0.200","0.046","2025","71.92","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"49","15.944","10.170","0.200","7.966","3.210","8.216","273.057","130.482","8.383","26.603","1.723","0.080","0.201","0.029","756","48.07","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"50","31.003","42.720","0.289","7.371","9.884","6.125","274.521","134.738","9.314","27.072","1.695","0.084","0.200","0.030","553","46.66","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"51","15.257","43.514","4.117","6.564","3.122","8.251","275.844","135.195","9.236","27.230","1.525","0.099","0.426","0.031","2213","75.41","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"52","15.423","14.301","0.333","7.369","9.153","6.401","232.335","100.867","6.561","20.516","0.716","0.074","0.437","0.050","972","53.11","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"53","31.403","40.312","3.353","6.471","9.025","6.436","259.303","736.083","174.596","72.879","0.758","0.070","0.463","0.044","2698","73.86","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"54","31.291","40.324","0.838","6.925","3.103","8.259","252.903","110.969","6.165","23.209","1.199","0.089","0.449","0.033","591","53.87","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"55","17.065","41.668","2.999","7.712","2.837","8.365","246.182","106.618","6.010","22.246","1.692","0.096","0.392","0.036","947","65.18","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"56","31.742","13.832","4.142","6.091","3.119","8.252","230.686","700.297","169.257","67.426","0.957","0.088","0.388","0.041","500","79.06","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"57","16.144","45.000","3.198","7.226","2.604","8.459","291.303","139.903","8.157","29.027","1.046","0.077","0.413","0.040","2299","70.11","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"58","16.766","44.513","2.742","7.893","2.500","8.500","252.048","116.532","7.803","23.567","1.887","0.099","0.200","0.032","1923","61.57","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"59","31.889","42.879","4.234","6.631","3.126","8.249","242.291","111.546","7.938","22.274","1.262","0.089","0.200","0.033","2565","77.62","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"60","16.635","41.870","0.993","7.684","2.729","8.408","233.336","701.419","169.158","67.759","0.873","0.076","0.200","0.046","2263","55.40","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"61","31.699","14.030","4.291","6.341","8.403","6.063","259.408","113.211","5.782","23.986","1.829","0.090","0.200","0.049","898","73.10","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"62","31.616","12.337","4.354","7.614","8.888","6.542","256.922","705.124","166.569","70.229","1.467","0.075","0.200","0.028","1022","76.56","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"63","31.893","12.830","3.925","6.388","8.683","6.282","299.295","659.904","147.860","70.592","1.163","0.073","0.200","0.032","722","75.10","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"64","17.440","41.093","0.232","6.142","9.344","6.189","237.930","670.540","160.090","65.759","1.930","0.082","0.200","0.027","743","46.84","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"65","15.798","13.138","3.177","6.570","3.064","8.274","288.439","134.129","7.029","28.309","1.893","0.072","0.200","0.037","902","66.97","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"66","31.635","44.003","1.028","7.545","3.103","8.259","250.705","659.567","155.170","66.078","1.943","0.093","0.454","0.033","1908","50.71","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"67","16.160","14.756","3.695","7.850","2.545","8.482","264.357","119.890","6.838","24.967","1.027","0.077","0.483","0.035","2618","73.02","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"68","31.387","41.041","3.363","6.656","3.047","8.281","250.211","108.760","5.977","22.787","1.303","0.097","0.201","0.033","589","71.09","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"69","15.442","42.236","3.925","6.116","8.050","6.550","227.884","106.999","8.901","20.586","0.658","0.077","0.494","0.027","1014","79.17","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"70","15.962","43.082","0.283","7.404","3.179","8.229","280.446","122.151","5.000","26.631","1.460","0.086","0.392","0.028","1023","49.86","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"71","31.313","39.484","0.665","7.965","8.671","6.342","236.791","109.119","8.118","21.576","0.945","0.080","0.484","0.040","579","52.22","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"72","15.885","43.109","4.059","6.566","3.102","8.259","236.297","727.846","175.868","70.108","1.021","0.085","0.491","0.036","933","77.70","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"73","31.263","42.498","3.924","6.802","8.641","6.043","294.748","132.590","5.650","28.772","0.705","0.078","0.200","0.032","848","76.01","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"74","15.482","14.342","0.778","7.544","2.864","8.354","264.763","757.209","179.490","75.042","0.778","0.075","0.412","0.035","2417","54.77","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"75","31.514","11.074","1.024","6.823","3.136","8.246","238.400","521.577","119.649","54.107","0.789","0.079","0.460","0.042","2485","57.54","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"76","16.057","13.966","3.108","6.774","8.425","6.351","291.957","539.976","116.477","60.499","1.022","0.072","0.200","0.030","2739","70.09","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"77","16.829","39.858","3.282","7.606","2.914","8.334","256.250","110.641","5.567","23.492","1.802","0.087","0.200","0.031","610","66.88","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"78","15.542","13.591","3.192","7.546","8.239","6.399","248.117","620.582","144.999","62.778","1.502","0.086","0.200","0.033","762","67.58","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"79","15.146","44.360","0.690","6.211","8.262","6.619","254.575","688.486","162.417","68.706","1.660","0.071","0.479","0.043","647","51.53","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"80","30.890","11.378","4.500","6.641","3.052","8.279","249.667","112.058","6.953","22.996","0.755","0.096","0.393","0.046","624","81.96","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"81","31.503","11.758","3.498","7.715","9.428","6.353","284.508","125.886","5.393","27.300","1.668","0.082","0.397","0.033","2207","68.52","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"82","15.725","11.942","3.036","6.122","2.860","8.356","281.042","679.805","156.033","70.469","1.328","0.077","0.395","0.030","2444","68.95","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"83","15.504","10.451","0.627","7.530","2.986","8.306","260.741","113.612","5.688","24.140","1.790","0.083","0.446","0.046","1890","48.58","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"84","15.185","38.904","0.961","7.329","2.703","8.419","285.651","737.279","170.907","75.407","1.507","0.074","0.396","0.037","2477","52.13","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"85","15.000","13.641","0.858","7.292","9.153","6.808","264.906","117.570","6.126","24.836","1.186","0.088","0.489","0.044","519","54.96","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"86","17.059","42.274","0.368","6.476","2.761","8.396","231.816","652.926","156.247","63.812","1.695","0.100","0.200","0.047","1965","48.62","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"87","31.333","11.589","0.230","7.569","8.461","6.080","291.236","549.773","119.242","61.201","0.903","0.073","0.465","0.041","2420","50.51","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"88","30.918","44.718","0.472","6.726","2.698","8.421","246.332","632.470","148.493","63.546","1.646","0.088","0.449","0.045","1992","48.62","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"89","31.443","42.696","0.728","8.000","2.906","8.338","245.079","117.754","9.196","23.019","1.191","0.099","0.201","0.046","1919","51.75","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"90","17.409","11.060","3.976","6.427","8.938","6.792","227.412","98.708","6.726","19.891","1.666","0.097","0.200","0.045","704","74.91","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"91","16.909","42.822","3.088","7.166","3.025","8.290","278.033","693.054","160.082","71.231","0.800","0.078","0.200","0.042","2279","71.44","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"92","31.669","41.521","2.909","6.316","9.996","6.371","257.472","125.139","9.309","24.744","1.053","0.089","0.404","0.039","2387","68.92","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"93","15.405","41.458","4.269","7.190","3.140","8.244","286.929","615.613","137.740","65.973","1.606","0.074","0.452","0.038","2394","75.68","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"94","16.397","11.978","2.793","7.407","9.004","6.007","238.157","689.159","165.101","67.242","1.121","0.092","0.464","0.034","2324","65.11","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"95","16.642","40.273","4.156","6.336","2.506","8.498","231.946","555.026","129.697","56.137","0.687","0.083","0.404","0.038","567","79.28","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"96","17.431","14.572","0.539","7.084","3.002","8.299","268.550","602.611","137.017","63.254","0.642","0.086","0.200","0.037","2600","54.40","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"97","16.498","14.176","0.560","7.233","9.158","6.417","252.804","121.853","9.130","24.054","0.905","0.074","0.474","0.040","2540","52.74","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"98","31.019","14.900","0.431","6.356","8.471","6.271","281.645","673.690","154.284","70.044","1.677","0.079","0.200","0.032","2168","48.36","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"99","31.069","12.949","0.569","7.851","2.541","8.484","293.180","132.820","5.951","28.645","1.700","0.086","0.201","0.029","987","47.53","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"100","32.000","43.222","3.901","7.284","2.581","8.468","233.505","106.358","7.871","21.055","1.500","0.086","0.200","0.049","873","72.49","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"101","31.200","17.237","2.300","5.442","3.271","8.192","195.632","108.711","14.278","17.741","0.565","0.055","0.201","0.024","2560","69.30","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"102","31.066","16.926","2.235","5.760","3.243","8.203","162.008","80.920","11.868","12.454","0.539","0.052","0.330","0.025","2589","68.67","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"103","31.090","16.332","1.707","5.676","3.264","8.194","206.879","464.308","108.931","46.699","0.560","0.052","0.201","0.026","1355","64.98","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"104","15.241","19.223","2.009","5.288","7.670","6.953","111.869","63.776","14.860","6.477","0.551","0.054","0.346","0.023","1465","69.04","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"105","31.077","20.258","1.857","5.413","3.259","8.197","217.750","264.493","53.125","32.016","0.554","0.052","0.330","0.025","1245","66.28","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"106","15.469","17.466","2.045","5.847","3.259","8.196","224.792","116.337","11.902","21.034","0.574","0.050","0.355","0.022","1275","67.12","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"107","31.350","19.866","2.339","6.051","4.273","6.934","110.658","364.581","96.562","29.982","0.539","0.058","0.201","0.025","1567","70.61","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"108","31.839","15.901","1.655","5.322","7.914","6.946","116.579","400.496","105.393","33.349","0.538","0.055","0.349","0.020","2805","66.56","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"109","31.855","19.145","2.265","5.330","3.248","8.201","226.767","434.601","97.851","46.204","0.545","0.055","0.341","0.022","1278","69.22","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"110","15.151","16.725","2.035","5.781","8.004","6.914","204.563","377.243","85.689","39.650","0.547","0.062","0.362","0.024","2403","68.56","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"111","17.272","17.204","2.127","5.830","3.271","8.192","111.159","50.520","11.376","5.370","0.572","0.067","0.348","0.025","1522","67.62","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"112","17.009","20.427","1.925","5.516","3.224","8.210","111.420","224.306","58.432","19.039","0.567","0.066","0.333","0.024","2518","66.44","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"113","15.588","19.054","2.177","5.428","3.222","8.211","100.340","51.890","13.395","4.479","0.561","0.051","0.336","0.021","1521","68.41","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
